state,sector,year,inspections_conducted,irregularities_detected,prosecutions,convictions,complaints_received,claims_awarded,current_min_wage_rate,irregularity_rate,data_confidence,risk_label
Central Sphere,Manufacturing & Factories,2022,1123,6304,104,37,202,147,743.0,5.6135,High,High
Central Sphere,Retail & Commercial,2018,1837,14706,314,419,340,256,728.0,8.0054,High,High
Central Sphere,Retail & Commercial,2019,1665,11683,395,124,349,275,728.0,7.0168,High,High
Central Sphere,Retail & Commercial,2020,1542,11500,310,78,302,232,728.0,7.4578,High,High
Central Sphere,Retail & Commercial,2021,1004,6837,93,32,202,151,728.0,6.8098,High,High
Central Sphere,Retail & Commercial,2022,1248,7828,129,46,243,176,728.0,6.2724,High,High
Central Sphere,Security & Facility,2018,1102,12539,267,357,302,227,832.0,11.3784,High,High
Central Sphere,Security & Facility,2019,999,9961,337,105,310,245,832.0,9.971,High,High
Central Sphere,Security & Facility,2020,925,9806,265,67,269,206,832.0,10.6011,High,High
Central Sphere,Security & Facility,2021,603,5829,80,27,179,134,832.0,9.6667,High,High
Central Sphere,Security & Facility,2022,749,6674,110,39,216,157,832.0,8.9105,High,High
Central Sphere,Transport & Logistics,2018,735,6811,145,194,113,85,751.0,9.2667,High,High
Central Sphere,Transport & Logistics,2019,666,5411,183,57,116,92,751.0,8.1246,High,High
Central Sphere,Transport & Logistics,2020,617,5326,144,36,101,77,751.0,8.6321,High,High
Central Sphere,Transport & Logistics,2021,402,3167,43,15,67,50,751.0,7.8781,High,High
Central Sphere,Transport & Logistics,2022,499,3626,60,21,81,59,751.0,7.2665,High,High
Delhi,Agriculture & Allied,2018,852,916,47,31,25,19,695.0,1.0751,High,Medium
Delhi,Agriculture & Allied,2019,936,1029,53,34,27,22,695.0,1.0994,High,Medium
Delhi,Agriculture & Allied,2020,468,500,24,14,13,10,695.0,1.0684,High,Medium
Delhi,Agriculture & Allied,2021,684,739,37,24,20,15,695.0,1.0804,High,Medium
Delhi,Agriculture & Allied,2022,834,928,46,30,25,20,695.0,1.1127,High,Medium
Delhi,Construction,2018,3124,5995,308,204,213,166,695.0,1.919,High,High
Delhi,Construction,2019,3432,6738,346,226,237,187,695.0,1.9633,High,High
Delhi,Construction,2020,1716,3272,154,94,114,86,695.0,1.9068,High,High
Delhi,Construction,2021,2508,4840,239,154,174,133,695.0,1.9298,High,High
Delhi,Construction,2022,3058,6078,302,195,218,172,695.0,1.9876,High,High
Delhi,Domestic Work,2018,568,1221,63,41,41,32,695.0,2.1496,High,High
Delhi,Domestic Work,2019,624,1372,71,46,46,36,695.0,2.1987,High,High
Delhi,Domestic Work,2020,312,666,31,19,22,16,695.0,2.1346,High,High
Delhi,Domestic Work,2021,456,986,49,31,34,26,695.0,2.1623,High,High
Delhi,Domestic Work,2022,556,1238,62,40,42,33,695.0,2.2266,High,High
Delhi,Hospitality & Food Services,2018,1420,2507,129,85,90,70,695.0,1.7655,High,High
Delhi,Hospitality & Food Services,2019,1560,2818,145,94,100,79,695.0,1.8064,High,High
Delhi,Hospitality & Food Services,2020,780,1368,64,39,48,36,695.0,1.7538,High,High
Delhi,Hospitality & Food Services,2021,1140,2024,100,64,74,56,695.0,1.7754,High,High
Delhi,Hospitality & Food Services,2022,1390,2542,126,82,92,73,695.0,1.8288,High,High
Delhi,Manufacturing & Factories,2018,2556,3335,171,113,123,96,695.0,1.3048,High,Medium
Delhi,Manufacturing & Factories,2019,2808,3748,193,125,136,108,695.0,1.3348,High,Medium
Delhi,Manufacturing & Factories,2020,1404,1821,86,52,66,50,695.0,1.297,High,Medium
Delhi,Manufacturing & Factories,2021,2052,2693,133,86,100,76,695.0,1.3124,High,Medium
Delhi,Manufacturing & Factories,2022,2502,3381,168,109,126,99,695.0,1.3513,High,Medium
Delhi,Retail & Commercial,2018,2840,4142,213,141,148,115,695.0,1.4585,High,Medium
Delhi,Retail & Commercial,2019,3120,4655,239,156,164,130,695.0,1.492,High,Medium
Delhi,Retail & Commercial,2020,1560,2261,106,65,79,59,695.0,1.4494,High,Medium
Delhi,Retail & Commercial,2021,2280,3344,165,106,121,92,695.0,1.4667,High,Medium
Delhi,Retail & Commercial,2022,2780,4199,209,135,151,119,695.0,1.5104,High,Medium
Delhi,Security & Facility,2018,1704,3532,181,120,131,102,695.0,2.0728,High,High
Delhi,Security & Facility,2019,1872,3969,204,133,146,115,695.0,2.1202,High,High
Delhi,Security & Facility,2020,936,1928,91,55,70,53,695.0,2.0598,High,High
Delhi,Security & Facility,2021,1368,2851,141,91,107,82,695.0,2.0841,High,High
Delhi,Security & Facility,2022,1668,3580,178,115,134,106,695.0,2.1463,High,High
Delhi,Transport & Logistics,2018,1136,1918,99,65,49,38,695.0,1.6884,High,High
Delhi,Transport & Logistics,2019,1248,2156,111,72,55,43,695.0,1.7276,High,High
Delhi,Transport & Logistics,2020,624,1047,49,30,26,20,695.0,1.6779,High,High
Delhi,Transport & Logistics,2021,912,1549,77,49,40,31,695.0,1.6985,High,High
Delhi,Transport & Logistics,2022,1112,1945,97,62,50,40,695.0,1.7491,High,High
Gujarat,Agriculture & Allied,2018,2052,1235,65,43,27,22,405.0,0.6019,Medium,Low
Gujarat,Agriculture & Allied,2019,2208,1348,71,48,29,24,405.0,0.6105,Medium,Low
Gujarat,Agriculture & Allied,2020,1092,647,33,21,14,11,405.0,0.5925,Medium,Low
Gujarat,Agriculture & Allied,2021,1590,970,50,33,21,17,405.0,0.6101,Medium,Low
Gujarat,Agriculture & Allied,2022,1884,1172,60,40,26,21,405.0,0.6221,Medium,Low
Gujarat,Construction,2018,7524,8085,424,280,231,187,445.0,1.0746,Medium,Medium
Gujarat,Construction,2019,8096,8828,465,314,255,211,445.0,1.0904,Medium,Medium
Gujarat,Construction,2020,4004,4235,214,135,120,96,445.0,1.0577,Medium,Medium
Gujarat,Construction,2021,5830,6352,324,214,185,151,445.0,1.0895,Medium,Medium
Gujarat,Construction,2022,6908,7672,390,261,224,182,445.0,1.1106,Medium,Medium
Gujarat,Domestic Work,2018,1368,1646,86,57,44,36,415.0,1.2032,Medium,Medium
Gujarat,Domestic Work,2019,1472,1798,95,64,49,40,415.0,1.2215,Medium,Medium
Gujarat,Domestic Work,2020,728,862,44,27,23,18,415.0,1.1841,Medium,Medium
Gujarat,Domestic Work,2021,1060,1294,66,44,36,29,415.0,1.2208,Medium,Medium
Gujarat,Domestic Work,2022,1256,1562,80,53,43,35,415.0,1.2436,Medium,Medium
Gujarat,Hospitality & Food Services,2018,3420,3381,177,117,98,79,430.0,0.9886,Medium,Medium
Gujarat,Hospitality & Food Services,2019,3680,3691,194,131,108,89,430.0,1.003,Medium,Medium
Gujarat,Hospitality & Food Services,2020,1820,1771,90,56,51,41,430.0,0.9731,Medium,Medium
Gujarat,Hospitality & Food Services,2021,2650,2656,136,90,78,64,430.0,1.0023,Medium,Medium
Gujarat,Hospitality & Food Services,2022,3140,3208,163,109,95,77,430.0,1.0217,Medium,Medium
Gujarat,Manufacturing & Factories,2018,6156,4498,236,156,134,108,440.0,0.7307,Medium,Low
Gujarat,Manufacturing & Factories,2019,6624,4911,259,174,147,122,440.0,0.7414,Medium,Low
Gujarat,Manufacturing & Factories,2020,3276,2356,119,75,69,56,440.0,0.7192,Medium,Low
Gujarat,Manufacturing & Factories,2021,4770,3534,181,119,106,87,440.0,0.7409,Medium,Low
Gujarat,Manufacturing & Factories,2022,5652,4269,217,145,129,105,440.0,0.7553,Medium,Low
Gujarat,Retail & Commercial,2018,6840,5586,293,194,160,130,435.0,0.8167,Medium,Low
Gujarat,Retail & Commercial,2019,7360,6099,321,217,176,146,435.0,0.8287,Medium,Low
Gujarat,Retail & Commercial,2020,3640,2926,148,93,83,67,435.0,0.8038,Medium,Low
Gujarat,Retail & Commercial,2021,5300,4389,224,148,128,104,435.0,0.8281,Medium,Low
Gujarat,Retail & Commercial,2022,6280,5301,270,180,155,126,435.0,0.8441,Medium,Low
Gujarat,Security & Facility,2018,4104,4763,249,165,142,115,455.0,1.1606,Medium,Medium
Gujarat,Security & Facility,2019,4416,5200,274,185,157,130,455.0,1.1775,Medium,Medium
Gujarat,Security & Facility,2020,2184,2495,126,79,74,59,455.0,1.1424,Medium,Medium
Gujarat,Security & Facility,2021,3180,3742,191,126,114,93,455.0,1.1767,Medium,Medium
Gujarat,Security & Facility,2022,3768,4520,230,154,138,112,455.0,1.1996,Medium,Medium
Gujarat,Transport & Logistics,2018,2736,2587,136,90,53,43,445.0,0.9455,Medium,Medium
Gujarat,Transport & Logistics,2019,2944,2825,149,100,59,49,445.0,0.9596,Medium,Medium
Gujarat,Transport & Logistics,2020,1456,1355,69,43,28,22,445.0,0.9306,Medium,Medium
Gujarat,Transport & Logistics,2021,2120,2033,104,69,43,35,445.0,0.959,Medium,Medium
Gujarat,Transport & Logistics,2022,2512,2455,125,84,52,42,445.0,0.9773,Medium,Medium
Karnataka,Agriculture & Allied,2018,1134,1109,41,26,20,16,515.0,0.978,High,Medium
Karnataka,Agriculture & Allied,2019,1248,1239,46,29,23,18,515.0,0.9928,High,Medium
Karnataka,Agriculture & Allied,2020,624,596,21,12,10,8,515.0,0.9551,High,Medium
Karnataka,Agriculture & Allied,2021,918,907,32,20,16,12,515.0,0.988,High,Medium
Karnataka,Agriculture & Allied,2022,1152,1147,42,26,21,16,515.0,0.9957,High,Medium
Karnataka,Construction,2018,4158,7260,270,168,174,135,610.0,1.746,High,High
Karnataka,Construction,2019,4576,8112,300,190,198,153,610.0,1.7727,High,High
Karnataka,Construction,2020,2288,3905,135,77,91,68,610.0,1.7067,High,High
Karnataka,Construction,2021,3366,5940,209,129,140,107,610.0,1.7647,High,High
Karnataka,Construction,2022,4224,7508,272,173,185,143,610.0,1.7775,High,High
Karnataka,Domestic Work,2018,756,1478,55,34,34,26,555.0,1.955,High,High
Karnataka,Domestic Work,2019,832,1652,61,39,38,30,555.0,1.9856,High,High
Karnataka,Domestic Work,2020,416,795,27,16,18,13,555.0,1.9111,High,High
Karnataka,Domestic Work,2021,612,1210,43,26,27,20,555.0,1.9771,High,High
Karnataka,Domestic Work,2022,768,1529,55,35,36,28,555.0,1.9909,High,High
Karnataka,Hospitality & Food Services,2018,1890,3036,113,70,74,57,575.0,1.6063,High,Medium
Karnataka,Hospitality & Food Services,2019,2080,3392,125,79,84,65,575.0,1.6308,High,Medium
Karnataka,Hospitality & Food Services,2020,1040,1633,56,32,38,29,575.0,1.5702,High,Medium
Karnataka,Hospitality & Food Services,2021,1530,2484,87,54,59,45,575.0,1.6235,High,Medium
Karnataka,Hospitality & Food Services,2022,1920,3139,114,72,78,60,575.0,1.6349,High,Medium
Karnataka,Manufacturing & Factories,2018,3402,4039,150,93,100,78,590.0,1.1872,High,Medium
Karnataka,Manufacturing & Factories,2019,3744,4514,167,106,114,88,590.0,1.2057,High,Medium
Karnataka,Manufacturing & Factories,2020,1872,2173,75,43,52,39,590.0,1.1608,High,Medium
Karnataka,Manufacturing & Factories,2021,2754,3305,116,72,81,62,590.0,1.2001,High,Medium
Karnataka,Manufacturing & Factories,2022,3456,4177,151,96,106,82,590.0,1.2086,High,Medium
Karnataka,Retail & Commercial,2018,3780,5016,186,116,121,94,595.0,1.327,High,Medium
Karnataka,Retail & Commercial,2019,4160,5605,207,131,137,106,595.0,1.3474,High,Medium
Karnataka,Retail & Commercial,2020,2080,2698,93,53,63,47,595.0,1.2971,High,Medium
Karnataka,Retail & Commercial,2021,3060,4104,144,89,97,74,595.0,1.3412,High,Medium
Karnataka,Retail & Commercial,2022,3840,5187,188,120,128,99,595.0,1.3508,High,Medium
Karnataka,Security & Facility,2018,2268,4277,159,99,107,83,635.0,1.8858,High,High
Karnataka,Security & Facility,2019,2496,4779,177,112,122,94,635.0,1.9147,High,High
Karnataka,Security & Facility,2020,1248,2300,79,45,56,42,635.0,1.8429,High,High
Karnataka,Security & Facility,2021,1836,3499,123,76,86,66,635.0,1.9058,High,High
Karnataka,Security & Facility,2022,2304,4423,160,102,114,88,635.0,1.9197,High,High
Karnataka,Transport & Logistics,2018,1512,2323,86,54,40,31,600.0,1.5364,High,Medium
Karnataka,Transport & Logistics,2019,1664,2596,96,61,46,35,600.0,1.5601,High,Medium
Karnataka,Transport & Logistics,2020,832,1250,43,25,21,16,600.0,1.5024,High,Medium
Karnataka,Transport & Logistics,2021,1224,1901,67,41,32,25,600.0,1.5531,High,Medium
Karnataka,Transport & Logistics,2022,1536,2402,87,55,43,33,600.0,1.5638,High,Medium
Kerala,Agriculture & Allied,2018,1704,3956,92,60,35,28,510.0,2.3216,High,High
Kerala,Agriculture & Allied,2019,1872,4345,102,68,39,32,510.0,2.321,High,High
Kerala,Agriculture & Allied,2020,1170,2444,56,34,22,17,510.0,2.0889,High,High
Kerala,Agriculture & Allied,2021,1488,3209,76,50,29,24,510.0,2.1566,High,High
Kerala,Agriculture & Allied,2022,1746,3742,89,58,34,28,510.0,2.1432,High,High
Kerala,Construction,2018,6248,25905,602,390,307,247,570.0,4.1461,High,High
Kerala,Construction,2019,6864,28452,667,443,339,281,570.0,4.1451,High,High
Kerala,Construction,2020,4290,16005,368,226,187,151,570.0,3.7308,High,High
Kerala,Construction,2021,5456,21010,498,327,255,211,570.0,3.8508,High,High
Kerala,Construction,2022,6402,24502,580,382,296,244,570.0,3.8272,High,High
Kerala,Domestic Work,2018,1136,5275,123,80,59,48,520.0,4.6435,High,High
Kerala,Domestic Work,2019,1248,5794,136,90,65,54,520.0,4.6426,High,High
Kerala,Domestic Work,2020,780,3259,75,46,36,29,520.0,4.1782,High,High
Kerala,Domestic Work,2021,992,4278,101,67,49,40,520.0,4.3125,High,High
Kerala,Domestic Work,2022,1164,4990,118,78,57,47,520.0,4.2869,High,High
Kerala,Hospitality & Food Services,2018,2840,10833,252,163,130,104,530.0,3.8144,High,High
Kerala,Hospitality & Food Services,2019,3120,11898,279,185,143,119,530.0,3.8135,High,High
Kerala,Hospitality & Food Services,2020,1950,6693,154,94,79,64,530.0,3.4323,High,High
Kerala,Hospitality & Food Services,2021,2480,8786,208,137,108,89,530.0,3.5427,High,High
Kerala,Hospitality & Food Services,2022,2910,10246,243,160,125,103,530.0,3.521,High,High
Kerala,Manufacturing & Factories,2018,5112,14413,335,217,177,142,550.0,2.8194,High,High
Kerala,Manufacturing & Factories,2019,5616,15830,371,246,195,162,550.0,2.8187,High,High
Kerala,Manufacturing & Factories,2020,3510,8905,205,125,108,87,550.0,2.537,High,High
Kerala,Manufacturing & Factories,2021,4464,11689,277,182,147,122,550.0,2.6185,High,High
Kerala,Manufacturing & Factories,2022,5238,13632,323,213,171,141,550.0,2.6025,High,High
Kerala,Retail & Commercial,2018,5680,17898,416,270,212,171,540.0,3.1511,High,High
Kerala,Retail & Commercial,2019,6240,19658,461,306,234,194,540.0,3.1503,High,High
Kerala,Retail & Commercial,2020,3900,11058,255,156,130,104,540.0,2.8354,High,High
Kerala,Retail & Commercial,2021,4960,14516,344,226,176,146,540.0,2.9266,High,High
Kerala,Retail & Commercial,2022,5820,16929,401,264,205,169,540.0,2.9088,High,High
Kerala,Security & Facility,2018,3408,15260,355,230,189,152,590.0,4.4777,High,High
Kerala,Security & Facility,2019,3744,16761,393,261,208,173,590.0,4.4768,High,High
Kerala,Security & Facility,2020,2340,9428,217,133,115,93,590.0,4.0291,High,High
Kerala,Security & Facility,2021,2976,12377,293,193,157,130,590.0,4.1589,High,High
Kerala,Security & Facility,2022,3492,14434,342,225,182,150,590.0,4.1334,High,High
Kerala,Transport & Logistics,2018,2272,8290,193,125,71,57,580.0,3.6488,High,High
Kerala,Transport & Logistics,2019,2496,9105,213,142,78,65,580.0,3.6478,High,High
Kerala,Transport & Logistics,2020,1560,5122,118,72,43,35,580.0,3.2833,High,High
Kerala,Transport & Logistics,2021,1984,6723,159,105,59,49,580.0,3.3886,High,High
Kerala,Transport & Logistics,2022,2328,7841,186,122,68,56,580.0,3.3681,High,High
Maharashtra,Agriculture & Allied,2018,1344,794,35,21,14,11,442.0,0.5908,High,Low
Maharashtra,Agriculture & Allied,2019,1446,895,39,22,16,12,442.0,0.6189,High,Low
Maharashtra,Agriculture & Allied,2020,672,412,17,9,8,6,442.0,0.6131,High,Low
Maharashtra,Agriculture & Allied,2021,1008,617,26,15,12,9,442.0,0.6121,High,Low
Maharashtra,Agriculture & Allied,2022,1230,760,33,19,14,11,442.0,0.6179,High,Low
Maharashtra,Construction,2018,4928,5198,231,135,125,99,532.0,1.0548,High,Medium
Maharashtra,Construction,2019,5302,5858,253,146,135,107,532.0,1.1049,High,Medium
Maharashtra,Construction,2020,2464,2695,113,58,68,49,532.0,1.0938,High,Medium
Maharashtra,Construction,2021,3696,4042,173,99,101,75,532.0,1.0936,High,Medium
Maharashtra,Construction,2022,4510,4978,217,124,122,94,532.0,1.1038,High,Medium
Maharashtra,Domestic Work,2018,896,1058,47,27,24,19,482.0,1.1808,High,Medium
Maharashtra,Domestic Work,2019,964,1193,52,30,26,20,482.0,1.2376,High,Medium
Maharashtra,Domestic Work,2020,448,549,23,12,13,10,482.0,1.2254,High,Medium
Maharashtra,Domestic Work,2021,672,823,35,20,20,14,482.0,1.2247,High,Medium
Maharashtra,Domestic Work,2022,820,1014,44,25,24,18,482.0,1.2366,High,Medium
Maharashtra,Hospitality & Food Services,2018,2240,2174,97,56,53,42,507.0,0.9705,High,Medium
Maharashtra,Hospitality & Food Services,2019,2410,2450,106,61,57,45,507.0,1.0166,High,Medium
Maharashtra,Hospitality & Food Services,2020,1120,1127,47,24,29,21,507.0,1.0063,High,Medium
Maharashtra,Hospitality & Food Services,2021,1680,1690,72,41,43,32,507.0,1.006,High,Medium
Maharashtra,Hospitality & Food Services,2022,2050,2082,91,52,52,40,507.0,1.0156,High,Medium
Maharashtra,Manufacturing & Factories,2018,4032,2892,129,75,72,57,522.0,0.7173,High,Low
Maharashtra,Manufacturing & Factories,2019,4338,3259,141,81,78,62,522.0,0.7513,High,Low
Maharashtra,Manufacturing & Factories,2020,2016,1499,63,32,39,28,522.0,0.7436,High,Low
Maharashtra,Manufacturing & Factories,2021,3024,2249,96,55,58,44,522.0,0.7437,High,Low
Maharashtra,Manufacturing & Factories,2022,3690,2769,121,69,70,54,522.0,0.7504,High,Low
Maharashtra,Retail & Commercial,2018,4480,3591,160,93,86,68,517.0,0.8016,High,Low
Maharashtra,Retail & Commercial,2019,4820,4047,175,101,94,74,517.0,0.8396,High,Low
Maharashtra,Retail & Commercial,2020,2240,1862,78,40,47,34,517.0,0.8313,High,Low
Maharashtra,Retail & Commercial,2021,3360,2793,120,68,70,52,517.0,0.8313,High,Low
Maharashtra,Retail & Commercial,2022,4100,3439,150,86,85,65,517.0,0.8388,High,Low
Maharashtra,Security & Facility,2018,2688,3062,136,79,77,61,552.0,1.1391,High,Medium
Maharashtra,Security & Facility,2019,2892,3451,149,86,83,66,552.0,1.1933,High,Medium
Maharashtra,Security & Facility,2020,1344,1588,66,34,42,30,552.0,1.1815,High,Medium
Maharashtra,Security & Facility,2021,2016,2381,102,58,62,46,552.0,1.1811,High,Medium
Maharashtra,Security & Facility,2022,2460,2932,128,73,75,58,552.0,1.1919,High,Medium
Maharashtra,Transport & Logistics,2018,1792,1663,74,43,29,23,527.0,0.928,High,Low
Maharashtra,Transport & Logistics,2019,1928,1874,81,47,31,25,527.0,0.972,High,Medium
Maharashtra,Transport & Logistics,2020,896,862,36,18,16,11,527.0,0.9621,High,Medium
Maharashtra,Transport & Logistics,2021,1344,1294,55,32,23,17,527.0,0.9628,High,Medium
Maharashtra,Transport & Logistics,2022,1640,1593,70,40,28,22,527.0,0.9713,High,Medium
Rajasthan,Agriculture & Allied,2018,744,664,26,16,15,11,365.0,0.8925,Medium,Low
Rajasthan,Agriculture & Allied,2019,816,731,29,18,16,13,365.0,0.8958,Medium,Low
Rajasthan,Agriculture & Allied,2020,402,353,13,8,8,6,365.0,0.8781,Medium,Low
Rajasthan,Agriculture & Allied,2021,588,525,20,12,11,8,365.0,0.8929,Medium,Low
Rajasthan,Agriculture & Allied,2022,714,638,25,16,14,10,365.0,0.8936,Medium,Low
Rajasthan,Construction,2018,2728,4345,168,104,127,96,385.0,1.5927,Medium,Medium
Rajasthan,Construction,2019,2992,4785,190,118,143,109,385.0,1.5993,Medium,Medium
Rajasthan,Construction,2020,1474,2310,85,50,68,49,385.0,1.5672,Medium,Medium
Rajasthan,Construction,2021,2156,3438,132,80,99,73,385.0,1.5946,Medium,Medium
Rajasthan,Construction,2022,2618,4180,162,102,122,91,385.0,1.5966,Medium,Medium
Rajasthan,Domestic Work,2018,496,885,34,21,24,18,370.0,1.7843,Medium,High
Rajasthan,Domestic Work,2019,544,974,39,24,28,21,370.0,1.7904,Medium,High
Rajasthan,Domestic Work,2020,268,470,17,10,13,10,370.0,1.7537,Medium,High
Rajasthan,Domestic Work,2021,392,700,27,16,19,14,370.0,1.7857,Medium,High
Rajasthan,Domestic Work,2022,476,851,33,21,24,18,370.0,1.7878,Medium,High
Rajasthan,Hospitality & Food Services,2018,1240,1817,70,44,54,41,375.0,1.4653,Medium,Medium
Rajasthan,Hospitality & Food Services,2019,1360,2001,79,49,60,46,375.0,1.4713,Medium,Medium
Rajasthan,Hospitality & Food Services,2020,670,966,36,21,29,21,375.0,1.4418,Medium,Medium
Rajasthan,Hospitality & Food Services,2021,980,1438,55,33,42,31,375.0,1.4673,Medium,Medium
Rajasthan,Hospitality & Food Services,2022,1190,1748,68,43,52,38,375.0,1.4689,Medium,Medium
Rajasthan,Manufacturing & Factories,2018,2232,2417,93,58,74,56,383.0,1.0829,Medium,Medium
Rajasthan,Manufacturing & Factories,2019,2448,2662,106,66,82,63,383.0,1.0874,Medium,Medium
Rajasthan,Manufacturing & Factories,2020,1206,1285,47,28,39,28,383.0,1.0655,Medium,Medium
Rajasthan,Manufacturing & Factories,2021,1764,1912,73,44,57,42,383.0,1.0839,Medium,Medium
Rajasthan,Manufacturing & Factories,2022,2142,2326,90,57,70,52,383.0,1.0859,Medium,Medium
Rajasthan,Retail & Commercial,2018,2480,3002,116,72,88,67,380.0,1.2105,Medium,Medium
